20 70
1 67
2 172
3 15
4 154
5 203
6 224
7 31
8 22
9 157
10 27
11 163
12 158
13 115
14 191
15 180
16 165
17 60
18 81
19 182
20 205
14 17 32
4 14 11
5 13 39
11 20 21
13 15 16
5 6 46
12 20 2
15 16 35
2 19 5
5 14 20
13 17 45
4 12 46
6 8 16
6 14 30
10 20 40
2 7 25
6 7 3
11 17 22
5 8 4
12 19 42
3 20 19
6 18 1
5 16 4
7 11 8
5 20 2
17 18 14
4 7 48
1 19 40
9 16 10
2 14 5
13 14 5
2 17 29
17 20 45
13 18 18
4 18 36
19 20 33
6 15 43
1 20 41
5 19 6
4 13 15
4 10 18
4 6 13
2 6 40
9 19 25
15 19 39
4 11 2
2 10 16
1 14 4
3 16 5
8 16 5
8 14 43
15 17 32
14 20 50
6 20 10
8 12 35
9 20 42
3 12 12
3 15 11
1 5 26
3 6 33
7 18 34
15 20 28
14 18 29
14 19 11
13 16 49
3 11 39
8 10 19
4 20 46
6 16 7
6 17 7
