50 75
1 31
2 79
3 7
4 70
5 93
6 102
7 15
8 10
9 72
10 13
11 75
12 72
13 53
14 87
15 83
16 76
17 28
18 37
19 83
20 94
21 70
22 23
23 87
24 47
25 36
26 103
27 4
28 79
29 10
30 44
31 100
32 102
33 35
34 66
35 89
36 56
37 6
38 50
39 9
40 94
41 42
42 2
43 7
44 18
45 4
46 31
47 106
48 88
49 22
50 10
15 41 5
14 28 29
16 19 45
11 30 18
6 47 36
15 50 33
39 45 43
13 28 41
31 43 6
17 38 15
28 50 18
11 45 13
18 42 40
9 29 25
3 30 39
21 47 2
33 40 16
34 36 4
3 35 5
5 32 5
42 43 43
33 50 32
10 50 50
36 48 10
14 25 35
2 49 42
48 50 12
11 31 11
9 34 26
10 11 33
9 16 34
5 10 28
14 22 29
46 48 11
15 36 49
12 24 39
23 37 19
13 39 46
32 37 7
9 33 7
24 26 41
3 18 35
19 37 10
2 13 35
9 35 12
14 40 32
7 49 1
7 38 1
35 41 26
35 38 49
12 49 37
8 31 32
9 39 12
17 29 14
20 21 49
29 49 30
7 19 38
38 39 36
6 46 47
3 19 4
33 46 35
12 22 13
2 14 41
5 8 33
14 44 28
16 31 8
16 37 19
3 37 15
35 45 15
32 47 34
26 38 25
7 25 50
19 48 17
9 26 5
7 50 16
