n m bkv opt
20 30 132 Sim
50 75 151 Sim
50 175 0 Sim
50 250 410 Sim
100 150 42 Sim
100 350 69 Sim
100 500 117 Sim
100 1000 0 Sim
200 300 370 Sim
200 700 84 Sim
200 1000 141 Sim
200 2000 351 Sim
200 5000 0 Sim
500 750 1387 Sim
500 1750 816 Sim
500 2500 298 Sim
500 5000 39 Sim
500 12500 0 Sim
500 25000 9 Sim
1000 1500 1911 Sim
1000 3500 1198 Sim
1000 5000 678 Sim
1000 10000 181 Sim
1000 25000 283 Sim
1000 50000 421 Não
5000 7500 10525 Sim
5000 17500 4913 Sim
5000 25000 3511 Sim
5000 50000 1817 Não
5000 125000 0 Não
5000 250000 0 Não
